URL,Title,ISSN,Homepage,How to publish,Publisher,Subject Area and Category
https://www.scimagojr.com/journalsearch.php?q=21100830702&tip=sid&clean=0,Mathematics,22277390,https://www.mdpi.com/journal/mathematics,https://www.mdpi.com/journal/mathematics/instructions#submission,Multidisciplinary Digital Publishing Institute (MDPI),"Computer Science, Computer Science (miscellaneous)"
https://www.scimagojr.com/journalsearch.php?q=21100871307&tip=sid&clean=0,Open Computer Science,22991093,https://www.degruyter.com/view/journals/comp/comp-overview.xml,https://www.editorialmanager.com/opencs/default.aspx,Walter de Gruyter GmbH,"Computer Science, Computer Science (miscellaneous)"
https://www.scimagojr.com/journalsearch.php?q=21101142746&tip=sid&clean=0,Autonomous Intelligent Systems,2730616X,Homepage link not found,How to publish link not found,Springer,"Computer Science, Computer Science (miscellaneous)"
https://www.scimagojr.com/journalsearch.php?q=21101059746&tip=sid&clean=0,IEEE Open Journal of Nanotechnology,26441292,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8782713,https://mc.manuscriptcentral.com/oj-nano,Institute of Electrical and Electronics Engineers Inc.,"Computer Science, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=21100935071&tip=sid&clean=0,Journal of Internet Services and Information Security,"21822069, 21822077",https://jisis.org/,https://jisis.org/submission-preparation-checklist/,Innovative Information Science and Technology Research Group,"Computer Science, Computer Networks and Communications, Computer Science Applications, Computer Science (miscellaneous), Information Systems, Software"
https://www.scimagojr.com/journalsearch.php?q=21101039441&tip=sid&clean=0,Cryptography,2410387X,https://www.mdpi.com/journal/cryptography,https://www.mdpi.com/journal/cryptography/instructions#submission,Multidisciplinary Digital Publishing Institute (MDPI),"Computer Science, Computational Theory and Mathematics, Computer Networks and Communications, Computer Science Applications, Software"
https://www.scimagojr.com/journalsearch.php?q=5400152640&tip=sid&clean=0,IET Information Security,17518709,https://digital-library.theiet.org/content/journals/iet-ifs,https://digital-library.theiet.org/journals/author-guide,John Wiley & Sons Inc.,"Computer Science, Computer Networks and Communications, Information Systems, Software"
https://www.scimagojr.com/journalsearch.php?q=21101044881&tip=sid&clean=0,International Journal of Serious Games,23848766,https://journal.seriousgamessociety.org/index.php/IJSG,https://journal.seriousgamessociety.org/index.php/IJSG/announcement/view/4,Serious Games Society,"Computer Science, Artificial Intelligence, Computer Graphics and Computer-Aided Design, Human-Computer Interaction, Software"
https://www.scimagojr.com/journalsearch.php?q=21101101209&tip=sid&clean=0,Journal of Social Computing,26885255,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8964404,https://mc03.manuscriptcentral.com/jsc-tup,Tsinghua University Press Tsinghua University in Scimago Institutions Rankings,"Computer Science, Computer Networks and Communications, Computer Science Applications, Information Systems"
https://www.scimagojr.com/journalsearch.php?q=28511&tip=sid&clean=0,Mathematical and Computer Modelling of Dynamical Systems,13873954,https://www.tandfonline.com/loi/nmcm20,https://mc.manuscriptcentral.com/mcmds,Taylor and Francis Ltd.,"Computer Science, Computer Science Applications, Software"
https://www.scimagojr.com/journalsearch.php?q=21101086775&tip=sid&clean=0,Data and Information Management,25439251,https://www.sciencedirect.com/journal/data-and-information-management,https://www2.cloud.editorialmanager.com/dim/default2.aspx,Elsevier Ltd,"Computer Science, Computer Science (miscellaneous)"
https://www.scimagojr.com/journalsearch.php?q=21101072200&tip=sid&clean=0,IET Cyber-systems and Robotics,26316315,https://ietresearch.onlinelibrary.wiley.com/journal/26316315,https://ietresearch.onlinelibrary.wiley.com/hub/journal/26316315/homepage/author-guidelines,John Wiley and Sons Inc.,"Computer Science, Artificial Intelligence, Computational Theory and Mathematics, Computer Networks and Communications, Hardware and Architecture, Human-Computer Interaction, Information Systems"
https://www.scimagojr.com/journalsearch.php?q=19600166316&tip=sid&clean=0,Journal of Internet Services and Applications,"18674828, 18690238",https://jisajournal.springeropen.com/,https://www.editorialmanager.com/jisa/default.aspx,Brazilian Computing Society,"Computer Science, Computer Networks and Communications, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=21100791701&tip=sid&clean=0,Journal of Pathology Informatics,"21533539, 22295089",http://www.jpathinformatics.org/,http://www.journalonweb.com/JPI/,Elsevier B.V.,"Computer Science, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=21100301602&tip=sid&clean=0,Journal of Robotics,"16879600, 16879619",https://www.hindawi.com/journals/jr/,https://www.hindawi.com/journals/jr/guidelines/,Hindawi Limited,"Computer Science, Computer Science (miscellaneous)"
https://www.scimagojr.com/journalsearch.php?q=19700183008&tip=sid&clean=0,TripleC,1726670X,https://www.triple-c.at/index.php/tripleC,https://www.triple-c.at/index.php/tripleC/about/submissions,Unified Theory of Information Research Group,"Computer Science, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=25515&tip=sid&clean=0,Graphical Models,"15240703, 15240711",https://www.journals.elsevier.com/graphical-models,https://ees.elsevier.com/gmod/default.asp,Elsevier Inc.,"Computer Science, Computer Graphics and Computer-Aided Design, Software"
https://www.scimagojr.com/journalsearch.php?q=21101169875&tip=sid&clean=0,Journal of Responsible Technology,26666596,Homepage link not found,How to publish link not found,Elsevier Ltd,"Computer Science, Computer Science (miscellaneous), Human-Computer Interaction"
